"","package_name","function_name"
"1","grDevices","adjustcolor"
"2","grDevices","as.graphicsAnnot"
"3","grDevices","as.raster"
"4","grDevices","axisTicks"
"5","grDevices","bitmap"
"6","grDevices","bmp"
"7","grDevices","boxplot.stats"
"8","grDevices","cairo_pdf"
"9","grDevices","cairo_ps"
"10","grDevices","check.options"
"11","grDevices","chull"
"12","grDevices","CIDFont"
"13","grDevices","cm"
"14","grDevices","cm.colors"
"15","grDevices","col2rgb"
"16","grDevices","colorConverter"
"17","grDevices","colorRamp"
"18","grDevices","colorRampPalette"
"19","grDevices","colors"
"20","grDevices","colours"
"21","grDevices","contourLines"
"22","grDevices","convertColor"
"23","grDevices","densCols"
"24","grDevices","dev2bitmap"
"25","grDevices","devAskNewPage"
"26","grDevices","dev.capabilities"
"27","grDevices","dev.capture"
"28","grDevices","dev.control"
"29","grDevices","dev.copy"
"30","grDevices","dev.copy2eps"
"31","grDevices","dev.copy2pdf"
"32","grDevices","dev.cur"
"33","grDevices","dev.flush"
"34","grDevices","dev.hold"
"35","grDevices","deviceIsInteractive"
"36","grDevices","dev.interactive"
"37","grDevices","dev.list"
"38","grDevices","dev.new"
"39","grDevices","dev.next"
"40","grDevices","dev.off"
"41","grDevices","dev.prev"
"42","grDevices","dev.print"
"43","grDevices","dev.set"
"44","grDevices","dev.size"
"45","grDevices","embedFonts"
"46","grDevices","extendrange"
"47","grDevices","getGraphicsEvent"
"48","grDevices","getGraphicsEventEnv"
"49","grDevices","graphics.off"
"50","grDevices","gray"
"51","grDevices","gray.colors"
"52","grDevices","grey"
"53","grDevices","grey.colors"
"54","grDevices","grSoftVersion"
"55","grDevices","hcl"
"56","grDevices","heat.colors"
"57","grDevices","hsv"
"58","grDevices","is.raster"
"59","grDevices","jpeg"
"60","grDevices","make.rgb"
"61","grDevices","n2mfrow"
"62","grDevices","nclass.FD"
"63","grDevices","nclass.scott"
"64","grDevices","nclass.Sturges"
"65","grDevices","palette"
"66","grDevices","pdf"
"67","grDevices","pdfFonts"
"68","grDevices","pdf.options"
"69","grDevices","pictex"
"70","grDevices","png"
"71","grDevices","postscript"
"72","grDevices","postscriptFonts"
"73","grDevices","ps.options"
