pkg1,pkg2,n
Sleuth2,Sleuth3,127
QCAGUI,Rcmdr,67
GeneralizedHyperbolic,HyperbolicDist,63
adehabitat,adehabitatLT,58
spTDyn,spTimer,52
MAc,MAd,47
adehabitat,adehabitatHS,42
gWidgets,gWidgets2,37
rapport,rapportools,33
MEMSS,nlme,32
rgrass7,spgrass6,30
shiny,shinybootstrap2,30
matlab,pracma,29
homtest,nsRFA,27
distrMod,ROptEstOld,26
base,RandomFields,21
VaRES,VGAM,20
assertive,tester,16
adehabitat,adehabitatHR,15
aod,aods3,15
BSDA,PASWR,15
eha,flexsurv,15
evd,VGAM,15
logspline,polspline,15
PASWR,PASWR2,15
adehabitat,adehabitatMA,13
coda,dcmle,13
parallel,snow,13
PopED,pracma,13
ade4,adegraphics,12
BayesX,R2BayesX,12
evir,VGAM,12
igraph,network,12
matlab,PopED,12
pracma,ramify,12
ggplot2,ggtern,11
matrixStats,timeSeries,11
party,partykit,11
splus2R,splusTimeSeries,11
evir,texmex,10
igraph,sna,10
R2OpenBUGS,R2WinBUGS,10
texmex,VGAM,10
ActuDistns,VaRES,9
DoseFinding,MCPMod,9
ExpDes,ExpDes.pt,9
GeneralizedHyperbolic,ghyp,9
ghyp,HyperbolicDist,9
HSAUR,HSAUR2,9
HSAUR,HSAUR3,9
lmom,lmomco,9
marked,RMark,9
matrixStats,splus2R,9
Rlab,stats,9
SpatialExtremes,texmex,9
SpatialExtremes,VGAM,9
CircStats,circular,8
devtools,withr,8
DistributionUtils,HyperbolicDist,8
eha,glmmML,8
evd,texmex,8
evir,fExtremes,8
evir,SpatialExtremes,8
FAdist,VGAM,8
fBasics,GeneralizedHyperbolic,8
fExtremes,SpatialExtremes,8
fExtremes,texmex,8
fExtremes,VGAM,8
gld,GLDEX,8
hoa,marg,8
KERE,kernlab,8
kinfit,mkin,8
logcondens,logcondiscr,8
lubridate,RcppBDT,8
lubridate,tis,8
mosaic,stats,8
muStat,splus2R,8
polynom,PolynomF,8
reliaR,VaRES,8
reliaR,VGAM,8
actuar,VaRES,7
actuar,VGAM,7
ActuDistns,reliaR,7
ActuDistns,VGAM,7
assertive,purrr,7
BinNonNor,PoisBinNonNor,7
dplyr,plyr,7
eha,VGAM,7
evd,evir,7
evd,FAdist,7
evd,fExtremes,7
evd,SpatialExtremes,7
flexsurv,STAR,7
KERE,kerndwd,7
kerndwd,kernlab,7
lubridate,solaR,7
lubridate,splusTimeDate,7
mosaic,rapportools,7
PopED,ramify,7
pracma,VGAM,7
RobAStBase,ROptEstOld,7
rts,xts,7
XLConnect,xlsx,7
ActuDistns,flexsurv,6
adaptTest,magic,6
alr3,alr4,6
ARTIVA,EDISON,6
assertive.properties,tester,6
bipartite,tnet,6
BSDA,Ecdat,6
camel,flare,6
cvTools,perry,6
data.table,lubridate,6
eha,STAR,6
extlasso,nnlasso,6
fBasics,matrixStats,6
fields,Rlab,6
fOptions,GLDEX,6
fts,xts,6
gam,mgcv,6
matlab,ramify,6
MCMCpack,phcfM,6
mosaic,pracma,6
ordinal,VGAM,6
PoisBinNonNor,PoisBinOrd,6
randomForest,RRF,6
randomForest,snpRF,6
RRF,snpRF,6
rSymPy,Ryacas,6
RUnit,svUnit,6
ScottKnott,TukeyC,6
svDialogs,svWidgets,6
ActuDistns,eha,5
assertive,testthat,5
assertive.types,purrr,5
BAS,BMS,5
base,Brobdingnag,5
BayesTree,dbarts,5
BinNonNor,PoisBinOrd,5
bnlearn,bnstruct,5
bnlearn,lava,5
Brobdingnag,mosaic,5
BSDA,PASWR2,5
camel,huge,5
cgam,coneproj,5
chron,lubridate,5
chron,splusTimeDate,5
DescTools,ineq,5
distrEx,rapportools,5
eha,reliaR,5
EnvStats,expectreg,5
EnvStats,VGAM,5
evd,VaRES,5
FAdist,SpatialExtremes,5
fBasics,splus2R,5
fcd,FusedPCA,5
flare,huge,5
flexsurv,reliaR,5
fractal,nonlinearTseries,5
futile.any,lambda.tools,5
gld,gldist,5
GLDEX,gldist,5
haven,sjmisc,5
hoa,nlreg,5
JM,JMbayes,5
lubridate,timetools,5
MCPAN,simboot,5
MFAg,MVar.pt,5
mixOmics,RGCCA,5
mondate,tis,5
pracma,RSEIS,5
pracma,signal,5
QCAGUI,RcmdrMisc,5
RcppClassicExamples,RcppExamples,5
searchable,stringr,5
solaR,timetools,5
ACDm,actuar,4
ACDm,flexsurv,4
actuar,agop,4
actuar,CaDENCE,4
actuar,EnvStats,4
actuar,PtProcess,4
ActuDistns,STAR,4
AdaptFit,AdaptFitOS,4
adehabitat,EnvStats,4
adehabitatLT,EnvStats,4
agop,CaDENCE,4
ald,qrLMM,4
assertive.numbers,tester,4
AUC,SDMTools,4
base,mvbutils,4
base,rapportools,4
BBmisc,R.utils,4
bda,Davies,4
bda,fBasics,4
bioPN,sbioPN,4
bnlearn,igraph,4
