fn,pkg1,pkg2
accum,proteomics,survsim
accuracy,animalTrack,AUC
accuracy,animalTrack,BAT
accuracy,animalTrack,forecast
accuracy,animalTrack,popsom
accuracy,animalTrack,SDMTools
accuracy,animalTrack,StatMeasures
accuracy,AUC,BAT
accuracy,AUC,forecast
accuracy,AUC,popsom
accuracy,AUC,SDMTools
accuracy,AUC,StatMeasures
accuracy,BAT,forecast
accuracy,BAT,popsom
accuracy,BAT,SDMTools
accuracy,BAT,StatMeasures
accuracy,forecast,popsom
accuracy,forecast,SDMTools
accuracy,forecast,StatMeasures
accuracy,popsom,SDMTools
accuracy,popsom,StatMeasures
accuracy,SDMTools,StatMeasures
ace,acepack,ape
ACE,fossil,sprex
ACE,fossil,Tsphere
ACE,sprex,Tsphere
acf,bspec,TSA
acf,dse,TSA
Acf,FinTS,forecast
acfPlot,fBasics,RcmdrPlugin.seeg
addClass,shinyjs,zooimage
add.col,cyphid,spaa
addConstraint,lpmodeler,RNeo4j
add.constraint,lpSolveAPI,PortfolioAnalytics
add.constraint,lpSolveAPI,tripack
add.constraint,PortfolioAnalytics,tripack
addData,MPAgenomics,phylobase
addDate,ReporteRs,tfplot
add.edge,MPSEM,network
add_edges,DiagrammeR,igraph
add.edges,igraph,network
add,ff,magrittr
add,ff,mondate
add,ff,shapes
add,git2r,magrittr
add,git2r,mondate
add,git2r,shapes
add,gWidgets2,magrittr
add,gWidgets2,mondate
add,gWidgets2,shapes
add,gWidgets,magrittr
add,gWidgets,mondate
add,gWidgets,shapes
add,gWidgetstcltk,magrittr
add,gWidgetstcltk,mondate
add,gWidgetstcltk,shapes
addHandler,gWidgets2,logging
addHandler,gWidgets,logging
addHandlerIdle,gWidgets,gWidgets2
addHistory,FITSio,PBSmodelling
acf,stats,TSA
ac,gclus,ggmcmc
ackley,emma,hydroPSO
acompute.CTRinvC,AdaptFit,AdaptFitOS
acor,egcm,nscancor
acorn,abind,Blossom
acosh,base,RandomFields
acp,acp,amap
a,crp.CSFP,GaDiFPT
a,crp.CSFP,gvcm.cat
a,crp.CSFP,htmltools
a,crp.CSFP,ocomposition
a,crp.CSFP,radir
a,crp.CSFP,seqinr
a,crp.CSFP,shiny
action,analogsea,simcausal
activateMenus,QCAGUI,Rcmdr
activeDataSetP,QCAGUI,Rcmdr
activeDataSet,QCAGUI,Rcmdr
ActiveDataSet,QCAGUI,Rcmdr
activeSetLogCon,logcondens,logcondens.mode
adapt,AGSDest,fMultivar
adapt,AGSDest,geo
adapt,AGSDest,rjags
adapt,fMultivar,geo
adapt,fMultivar,rjags
adapt,geo,rjags
ADbootstrap.test,homtest,nsRFA
addAlgorithm,BatchExperiments,sybil
add_axis,ggvis,quantmod
additive,ape,nonparaeff
additive,ape,regpro
additive,ape,SNPassoc
additive,nonparaeff,regpro
additive,nonparaeff,SNPassoc
additive,regpro,SNPassoc
addLabel,PBSmodelling,rAmCharts
addLabel,PBSmodelling,RNeo4j
addLegend,leaflet,PBSmodelling
addlines,amen,eigenmodel
addLines,PBSmapping,quantmod
addLines,PBSmapping,rockchalk
addLines,quantmod,rockchalk
add,magrittr,mondate
add,magrittr,semisupKernelPCA
add,magrittr,shapes
addmissing,alm,rplos
add,mondate,semisupKernelPCA
add,mondate,shapes
add.neighbor,BayesX,R2BayesX
addNoise,fisheyeR,sdcMicro
addPoints,PBSmapping,quantmod
addRegime,surface,tsDyn
address,data.table,pryr
addRows,berryFunctions,sybil
add,semisupKernelPCA,shapes
add_shape,igraph,nodiv
addStockIcons,gWidgets,gWidgets2
addVariable,lpmodeler,RObsDat
addvar,lava,mc2d
addvar,lava,spatstat
addvar,mc2d,spatstat
add.vertices,igraph,network
adf,BioGeoBEARS,PANICr
adf.test,aTSA,tseries
adhesion,EngrExpt,igraph
adjacency.matrix,copCAR,ngspatial
adjacent,colortools,raster
adjacent,colortools,vcrpart
adjacent,raster,vcrpart
adj.rand.index,fossil,pdfCluster
